date,pm25
5/7/2015,47.74014409
1/8/2015,5.78674586
2/8/2015,10.18695035
3/8/2015,4.654544792
4/8/2015,22.16783878
5/8/2015,28.11349624
1/9/2015,8.139719143
2/9/2015,8.547274725
3/9/2015,4.088741722
4/9/2015,8.556083214
5/9/2015,23.60969208
1/10/2015,5.25835
2/10/2015,12.82504637
3/10/2015,7.686844023
4/10/2015,19.19837087
5/10/2015,23.92275474
1/11/2015,7.576651917
2/11/2015,19.16456352
3/11/2015,3.423532684
4/11/2015,25.51835866
5/11/2015,14.85690858
1/12/2015,9.33535489
2/12/2015,20.73584078
3/12/2015,8.043299857
4/12/2015,38.06371088
4/7/2017,1.883793103
5/7/2017,2.474120805
6/7/2017,2.981036036
7/7/2017,3.792052933
8/7/2017,3.182483848
9/7/2017,2.72280402
10/7/2017,4.246114709
11/7/2017,3.718263889
12/7/2017,2.531472135
13/7/2017,1.865316552
14/7/2017,1.719180556
15/7/2017,3.355539739
16/7/2017,4.706501437
17/7/2017,8.342771536
18/7/2017,6.21684492
19/7/2017,8.883490364
20/7/2017,6.5406698
21/7/2017,4.178277778
22/7/2017,10.37849879
23/7/2017,6.228119266
24/7/2017,6.392794118
25/7/2017,4.601655076
26/7/2017,4.179233754
27/7/2017,8.410371622
28/7/2017,9.900440771
29/7/2017,7.845346756
30/7/2017,2.303656025
31/7/2017,3.419086229
1/8/2017,2.982267116
2/8/2017,2.900826727
3/8/2017,3.746905767
4/8/2017,4.606232558
5/8/2017,4.726729412
6/8/2017,3.64273511
7/8/2017,2.215667047
8/8/2017,2.697803701
9/8/2017,4.263366619
10/8/2017,2.224729459
11/8/2017,2.698665966
12/8/2017,1.597496148
13/8/2017,1.520694127
14/8/2017,1.624051988
15/8/2017,1.593153639
16/8/2017,1.185277778
17/8/2017,1.123537946
18/8/2017,4.333061441
20/8/2017,5.214900181
21/8/2017,3.579388889
22/8/2017,2.743522618
23/8/2017,3.08016129
24/8/2017,3.073443114
25/8/2017,4.287111111
26/8/2017,3.437471358
27/8/2017,1.611525659
28/8/2017,3.894581976
29/8/2017,2.118874657
30/8/2017,2.473258897
31/8/2017,4.512099359
1/9/2017,3.592708628
2/9/2017,2.916460306
3/9/2017,4.467678959
4/9/2017,3.384483486
5/9/2017,5.734730216
6/9/2017,3.576041276
7/9/2017,2.908875
8/9/2017,3.739416667
9/9/2017,4.275510771
10/9/2017,3.459820014
11/9/2017,1.229388201
12/9/2017,1.427336579
13/9/2017,3.145902778
14/9/2017,2.053361111
15/9/2017,1.260979167
16/9/2017,1.095243056
17/9/2017,2.770653686
18/9/2017,2.465194715
19/9/2017,1.85370226
20/9/2017,2.218583333
21/9/2017,3.122787921
22/9/2017,1.814061196
23/9/2017,2.208909722
24/9/2017,2.991965157
25/9/2017,3.559131944
26/9/2017,3.487388889
27/9/2017,1.758826389
28/9/2017,2.676590278
29/9/2017,1.095701389
30/9/2017,1.048777778
1/10/2017,0.981640028
2/10/2017,2.348847858
3/10/2017,1.652749141
4/10/2017,2.030263889
5/10/2017,2.853734353
6/10/2017,2.634555556
7/10/2017,5.202236111
8/10/2017,3.420097629
9/10/2017,2.508659722
10/10/2017,0.897436333
11/10/2017,0.8869
12/10/2017,2.109222222
13/10/2017,1.072945906
14/10/2017,2.028388889
15/10/2017,3.048261173
16/10/2017,2.653854908
17/10/2017,3.345688456
18/10/2017,4.724791667
19/10/2017,5.924805556
20/10/2017,3.807719424
21/10/2017,5.3441875
22/10/2017,3.464159722
23/10/2017,5.997069086
24/10/2017,3.027910448
25/10/2017,1.311688673
26/10/2017,3.671180556
27/10/2017,4.133194444
28/10/2017,1.915779944
29/10/2017,1.967301115
30/10/2017,2.204750219
31/10/2017,4.196093315
1/11/2017,5.637630465
2/11/2017,1.995695817
3/11/2017,1.83177665
4/11/2017,1.304488304
5/11/2017,1.499488304
6/11/2017,1.121579721
7/11/2017,1.444757644
8/11/2017,1.430418118
9/11/2017,1.993380986
10/11/2017,0.73790132
11/11/2017,2.155677656
12/11/2017,1.330734754
13/11/2017,1.2805
14/11/2017,1.89136965
15/11/2017,1.933183466
16/11/2017,1.975638298
17/11/2017,1.812737509
18/11/2017,3.435304102
19/11/2017,4.028496684
20/11/2017,1.9202914
21/11/2017,1.325325698
22/11/2017,2.128407924
23/11/2017,1.387828241
24/11/2017,0.873013222
25/11/2017,0.957477954
26/11/2017,1.113449235
27/11/2017,1.65848062
28/11/2017,0.589600533
29/11/2017,0.650673453
30/11/2017,0.816371553
1/12/2017,0.859811731
2/12/2017,1.030251518
3/12/2017,1.311606906
4/12/2017,0.731338944
5/12/2017,1.161207865
6/12/2017,0.515688976
7/12/2017,1.943218066
8/12/2017,1.815154565
9/12/2017,2.491255572
10/12/2017,2.922759939
11/12/2017,5.598269525
12/12/2017,4.345365314
13/12/2017,4.33059691
14/12/2017,4.94238806
15/12/2017,5.184423218
16/12/2017,4.878675214
17/12/2017,2.264488473
18/12/2017,2.045923077
19/12/2017,5.017810047
20/12/2017,4.628232323
21/12/2017,4.639956332
22/12/2017,2.579774572
23/12/2017,0.971782178
24/12/2017,1.134635457
25/12/2017,2.959516807
26/12/2017,3.982198582
27/12/2017,1.60642963
28/12/2017,1.414547414
29/12/2017,2.160258981
30/12/2017,1.89403118
31/12/2017,2.165582164
1/1/2018,2.518186275
2/1/2018,2.236908683
3/1/2018,1.850550218
4/1/2018,1.512241256
5/1/2018,2.614668094
6/1/2018,2.176235955
7/1/2018,1.295296581
8/1/2018,1.375821104
9/1/2018,1.361512784
10/1/2018,2.701348315
11/1/2018,1.147697211
12/1/2018,1.479427157
13/1/2018,2.233832086
14/1/2018,4.120601045
15/1/2018,3.182959327
16/1/2018,2.506154446
17/1/2018,2.101211699
18/1/2018,1.904886686
19/1/2018,2.169576271
20/1/2018,1.896807175
21/1/2018,1.395362932
22/1/2018,1.221860987
23/1/2018,0.888597064
5/4/2018,6.898651079
6/4/2018,10.25080556
7/4/2018,11.41463173
8/4/2018,5.52176559
9/4/2018,6.212924901
10/4/2018,3.656014388
11/4/2018,5.148684775
12/4/2018,5.495899931
13/4/2018,4.678243056
14/4/2018,5.2373125
15/4/2018,5.113055556
16/4/2018,4.914027778
17/4/2018,5.694569444
18/4/2018,4.808527778
19/4/2018,5.326680556
20/4/2018,6.699159722
21/4/2018,6.262236111
22/4/2018,5.350131944
23/4/2018,7.414173611
24/4/2018,7.433729167
25/4/2018,7.006708333
26/4/2018,3.533208333
27/4/2018,3.704722222
28/4/2018,5.994722222
29/4/2018,4.790993056
30/4/2018,3.783312413
1/5/2018,6.466840278
2/5/2018,4.224881944
3/5/2018,5.091395833
4/5/2018,5.152284722
5/5/2018,4.854655415
6/5/2018,5.690909722
7/5/2018,6.570890125
8/5/2018,6.659721254
9/5/2018,11.61665972
10/5/2018,6.383472222
11/5/2018,5.590888889
12/5/2018,6.31051049
13/5/2018,7.016666667
14/5/2018,8.056055556
15/5/2018,5.44218902
16/5/2018,5.020069638
17/5/2018,4.237625
18/5/2018,4.450430556
19/5/2018,5.109978541
20/5/2018,3.640035014
21/5/2018,4.583847222
22/5/2018,6.259541667
23/5/2018,3.853093842
24/5/2018,3.400854167
25/5/2018,2.116736111
26/5/2018,4.844270833
27/5/2018,2.675722222
